# ============================================
# OWASP ZAP - Regras Customizadas
# FASE 3 LEI III: Configuração para SPA React
# ============================================
# ID	Action	Name
10003	IGNORE	Vulnerable JS Library (CDN - Known False Positive)
10015	IGNORE	Incomplete or No Cache-control Header (SPA Static Assets)
10021	IGNORE	X-Content-Type-Options Missing (CDN Assets)
10038	IGNORE	Content Security Policy Missing (We have it in _headers)
10055	IGNORE	CSP: Wildcard Directive (Required for Panda/YouTube)
10096	IGNORE	Timestamp Disclosure (Non-sensitive)
10109	IGNORE	Modern Web Application (Expected)
10110	IGNORE	Dangerous JS Functions (eval for bundler - safe)
40014	IGNORE	Cross Site Scripting (Persistent) - In URL (False positive in SPA routing)
40025	IGNORE	Proxy Disclosure (Cloudflare expected)
90022	IGNORE	Application Error Disclosure (Dev mode only)
90033	IGNORE	Loosely Scoped Cookie (Supabase auth - expected)
